id,title,scheme
oefos:203001,Apparatus engineering,oefos
oefos:203002,Endurance strength,oefos
oefos:203003,Fracture mechanics,oefos
oefos:203004,Automotive technology,oefos
oefos:203005,Precision engineering,oefos
oefos:203006,Production engineering,oefos
oefos:203007,Strength of materials,oefos
oefos:203008,Conveyor technology,oefos
oefos:203009,Refrigeration engineering,oefos
oefos:203010,Air conditioning technology,oefos
oefos:203011,Lightweight design,oefos
oefos:203012,Aerospace engineering,oefos
oefos:203013,Mechanical engineering,oefos
oefos:203014,Machine dynamics,oefos
oefos:203015,Mechatronics,oefos
oefos:203016,Measurement engineering,oefos
oefos:203017,Micromechanics,oefos
oefos:203018,Heavy machinery construction,oefos
oefos:203019,Reactor technology,oefos
oefos:203020,Welding engineering,oefos
oefos:203021,Fluid-flow machinery,oefos
oefos:203022,Technical mechanics,oefos
oefos:203023,Thermal turbomachinery,oefos
oefos:203024,Thermodynamics,oefos
oefos:203025,Tribology,oefos
oefos:203026,Forming,oefos
oefos:203027,Internal combustion engines,oefos
oefos:203028,Thermal engineering,oefos
oefos:203029,Tool construction,oefos
oefos:203030,Fuel cell technology,oefos
oefos:203031,Engineering design,oefos
oefos:203032,Additive manufacturing,oefos
oefos:203033,Hydraulic drive technology,oefos
oefos:203034,Continuum mechanics,oefos
oefos:203035,Thermal processing technology,oefos
oefos:203036,Weapons and munitions technology,oefos
oefos:203037,Computational engineering,oefos
oefos:204001,Inorganic chemical technology,oefos
oefos:204002,Chemical reaction engineering,oefos
oefos:204003,Chemical process engineering,oefos
oefos:204004,Organic chemical technology,oefos
oefos:204005,Refining technology,oefos
oefos:204006,Mechanical process engineering,oefos
oefos:204007,Thermal process engineering,oefos
oefos:205001,Building materials testing,oefos
oefos:205002,Coating technology,oefos
oefos:205003,Refractories,oefos
oefos:205004,Functional materials,oefos
oefos:205005,Ceramics engineering,oefos
oefos:205006,Wood research,oefos
oefos:205007,Wood preservatives,oefos
oefos:205008,Wood technology,oefos
oefos:205009,Ceramic materials,oefos
oefos:205010,Anticorrosives,oefos
oefos:205011,Polymer engineering,oefos
oefos:205012,Polymer processing,oefos
oefos:205013,Failure analysis,oefos
oefos:205014,Textile technology,oefos
oefos:205015,Composites,oefos
oefos:205016,Materials testing,oefos
oefos:205017,Materials engineering,oefos
oefos:205018,Pulp and paper technology,oefos
oefos:205019,Material sciences,oefos
oefos:206001,Biomedical engineering,oefos
oefos:206002,Electro-medical engineering,oefos
oefos:206004,Medical engineering,oefos
oefos:206005,Prosthetics,oefos
oefos:206006,Rehabilitation technology,oefos
oefos:207101,Waste engineering,oefos
oefos:207102,Exhaust air purification,oefos
oefos:207103,Wastewater treatment,oefos
oefos:207104,Remediation of contaminated sites,oefos
oefos:207105,Landfill technology,oefos
oefos:207106,Renewable energy,oefos
oefos:207107,Air pollution control,oefos
oefos:207108,Recycling,oefos
oefos:207109,Pollutant emission,oefos
