id,title,url
CC-BY-NC-ND-3.0,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,http://spdx.org/licenses/CC-BY-NC-ND-3.0.json
CC-BY-NC-ND-3.0-IGO,Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,http://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.json
CC-BY-NC-ND-4.0,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,http://spdx.org/licenses/CC-BY-NC-ND-4.0.json
CC-BY-NC-SA-1.0,Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,http://spdx.org/licenses/CC-BY-NC-SA-1.0.json
CC-BY-NC-SA-2.0,Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,http://spdx.org/licenses/CC-BY-NC-SA-2.0.json
CC-BY-NC-SA-2.5,Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,http://spdx.org/licenses/CC-BY-NC-SA-2.5.json
CC-BY-NC-SA-3.0,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,http://spdx.org/licenses/CC-BY-NC-SA-3.0.json
CC-BY-NC-SA-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,http://spdx.org/licenses/CC-BY-NC-SA-4.0.json
CC-BY-ND-1.0,Creative Commons Attribution No Derivatives 1.0 Generic,http://spdx.org/licenses/CC-BY-ND-1.0.json
CC-BY-ND-2.0,Creative Commons Attribution No Derivatives 2.0 Generic,http://spdx.org/licenses/CC-BY-ND-2.0.json
CC-BY-ND-2.5,Creative Commons Attribution No Derivatives 2.5 Generic,http://spdx.org/licenses/CC-BY-ND-2.5.json
CC-BY-ND-3.0,Creative Commons Attribution No Derivatives 3.0 Unported,http://spdx.org/licenses/CC-BY-ND-3.0.json
CC-BY-ND-4.0,Creative Commons Attribution No Derivatives 4.0 International,http://spdx.org/licenses/CC-BY-ND-4.0.json
CC-BY-SA-1.0,Creative Commons Attribution Share Alike 1.0 Generic,http://spdx.org/licenses/CC-BY-SA-1.0.json
CC-BY-SA-2.0,Creative Commons Attribution Share Alike 2.0 Generic,http://spdx.org/licenses/CC-BY-SA-2.0.json
CC-BY-SA-2.0-UK,Creative Commons Attribution Share Alike 2.0 England and Wales,http://spdx.org/licenses/CC-BY-SA-2.0-UK.json
CC-BY-SA-2.5,Creative Commons Attribution Share Alike 2.5 Generic,http://spdx.org/licenses/CC-BY-SA-2.5.json
CC-BY-SA-3.0,Creative Commons Attribution Share Alike 3.0 Unported,http://spdx.org/licenses/CC-BY-SA-3.0.json
CC-BY-SA-3.0-AT,Creative Commons Attribution-Share Alike 3.0 Austria,http://spdx.org/licenses/CC-BY-SA-3.0-AT.json
CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,http://spdx.org/licenses/CC-BY-SA-4.0.json
CC-PDDC,Creative Commons Public Domain Dedication and Certification,http://spdx.org/licenses/CC-PDDC.json
CC0-1.0,Creative Commons Zero v1.0 Universal,http://spdx.org/licenses/CC0-1.0.json
CDDL-1.0,Common Development and Distribution License 1.0,http://spdx.org/licenses/CDDL-1.0.json
CDDL-1.1,Common Development and Distribution License 1.1,http://spdx.org/licenses/CDDL-1.1.json
CDLA-Permissive-1.0,Community Data License Agreement Permissive 1.0,http://spdx.org/licenses/CDLA-Permissive-1.0.json
CDLA-Sharing-1.0,Community Data License Agreement Sharing 1.0,http://spdx.org/licenses/CDLA-Sharing-1.0.json
CECILL-1.0,CeCILL Free Software License Agreement v1.0,http://spdx.org/licenses/CECILL-1.0.json
CECILL-1.1,CeCILL Free Software License Agreement v1.1,http://spdx.org/licenses/CECILL-1.1.json
CECILL-2.0,CeCILL Free Software License Agreement v2.0,http://spdx.org/licenses/CECILL-2.0.json
CECILL-2.1,CeCILL Free Software License Agreement v2.1,http://spdx.org/licenses/CECILL-2.1.json
CECILL-B,CeCILL-B Free Software License Agreement,http://spdx.org/licenses/CECILL-B.json
CECILL-C,CeCILL-C Free Software License Agreement,http://spdx.org/licenses/CECILL-C.json
CERN-OHL-1.1,CERN Open Hardware Licence v1.1,http://spdx.org/licenses/CERN-OHL-1.1.json
CERN-OHL-1.2,CERN Open Hardware Licence v1.2,http://spdx.org/licenses/CERN-OHL-1.2.json
CERN-OHL-P-2.0,CERN Open Hardware Licence Version 2 - Permissive,http://spdx.org/licenses/CERN-OHL-P-2.0.json
CERN-OHL-S-2.0,CERN Open Hardware Licence Version 2 - Strongly Reciprocal,http://spdx.org/licenses/CERN-OHL-S-2.0.json
CERN-OHL-W-2.0,CERN Open Hardware Licence Version 2 - Weakly Reciprocal,http://spdx.org/licenses/CERN-OHL-W-2.0.json
CNRI-Jython,CNRI Jython License,http://spdx.org/licenses/CNRI-Jython.json
CNRI-Python,CNRI Python License,http://spdx.org/licenses/CNRI-Python.json
CNRI-Python-GPL-Compatible,CNRI Python Open Source GPL Compatible License Agreement,http://spdx.org/licenses/CNRI-Python-GPL-Compatible.json
CPAL-1.0,Common Public Attribution License 1.0,http://spdx.org/licenses/CPAL-1.0.json
CPL-1.0,Common Public License 1.0,http://spdx.org/licenses/CPL-1.0.json
CPOL-1.02,Code Project Open License 1.02,http://spdx.org/licenses/CPOL-1.02.json
CUA-OPL-1.0,CUA Office Public License v1.0,http://spdx.org/licenses/CUA-OPL-1.0.json
Caldera,Caldera License,http://spdx.org/licenses/Caldera.json
ClArtistic,Clarified Artistic License,http://spdx.org/licenses/ClArtistic.json
Condor-1.1,Condor Public License v1.1,http://spdx.org/licenses/Condor-1.1.json
Crossword,Crossword License,http://spdx.org/licenses/Crossword.json
CrystalStacker,CrystalStacker License,http://spdx.org/licenses/CrystalStacker.json
Cube,Cube License,http://spdx.org/licenses/Cube.json
D-FSL-1.0,Deutsche Freie Software Lizenz,http://spdx.org/licenses/D-FSL-1.0.json
DOC,DOC License,http://spdx.org/licenses/DOC.json
DSDP,DSDP License,http://spdx.org/licenses/DSDP.json
Dotseqn,Dotseqn License,http://spdx.org/licenses/Dotseqn.json
ECL-1.0,Educational Community License v1.0,http://spdx.org/licenses/ECL-1.0.json
